node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB
38,1.246759745,2.811467911,0.411145379,1.914381953,4.631135447,2.504367292,-2.230212343,-3.683459953
39,1.291875841,2.833094665,0.392232853,1.882862715,5.444246518,2.609742226,-2.282211009,-3.803487333
40,1.339776891,2.85741983,0.372465005,1.850445612,5.780312313,2.935364706,-2.385424567,-3.911834652
41,1.386511518,2.886437549,0.351432936,1.81719121,5.639558117,3.501624446,-2.53798045,-4.012873135
42,1.428207547,2.9222681,0.328744965,1.78312861,5.031540603,4.323741995,-2.737801484,-4.110399989
43,1.454543407,2.957822458,0.305159002,1.74741385,3.1779991,4.290413087,-2.846163706,-4.309768996
44,1.500230343,2.997611737,0.276389119,1.680742916,3.675421104,3.200966562,-2.314478559,-5.363541082
45,1.528400437,3.022028856,0.25860927,1.632345118,3.399339241,2.946460573,-2.145528546,-5.84025511
46,1.52922288,3.02263595,0.241007486,1.542837411,0.066163841,0.048839503,-1.416027697,-7.200712918
47,1.483282369,2.988824668,0.224577591,1.44647004,-3.695820859,-2.720049017,-1.321751727,-7.752559461
48,1.439620567,2.946199624,0.213283026,1.371988987,-4.829843704,-4.715158067,-1.249398349,-8.239051686
49,1.442141002,2.876879309,0.203773267,1.302161895,0.30414578,-8.365017049,-1.147561094,-8.426170679
50,1.498727838,2.789982357,0.294570299,1.210366467,-1.147561094,-8.426170679,0.30414578,-8.365017049
51,1.433198216,2.76461917,0.28075034,1.20233198,-5.271724638,-2.040416758,-1.111787517,-0.646358133
52,1.374086403,2.739143489,0.253746942,1.221969258,-4.755426783,-2.049467413,-2.172369226,1.579779655
53,1.320168256,2.713850128,0.218027355,1.257723362,-4.33760686,-2.034800166,-2.873569209,2.876345986
54,1.285713555,2.696753608,0.198066267,1.277737531,-4.157714655,-2.063069797,-2.408742684,2.415148038
55,1.252487315,2.679548701,0.183081829,1.293195958,-4.009473822,-2.076149022,-1.808200661,1.865397917
56,1.220358545,2.662256413,0.17321484,1.304067093,-3.87703998,-2.086693316,-1.19066844,1.311840628
57,1.189217669,2.644893132,0.16852848,1.310250415,-3.757828852,-2.095260271,-0.565511958,0.746153289
58,1.158972372,2.627471897,0.169022424,1.311569871,-3.649757642,-2.10225359,0.05960512,0.159221256
59,1.129544647,2.610003494,0.174642511,1.307767767,-3.551099388,-2.10794529,0.678186586,-0.458807119
60,1.100868438,2.592497193,0.185291931,1.298485887,-3.460412197,-2.112518337,1.285085635,-1.120061947
61,1.071932115,2.575828389,0.19716589,1.27230787,-3.491801924,-2.011456834,1.43285356,-3.158951932
62,1.031847392,2.549869142,0.21800733,1.225707387,-3.224734703,-2.088368745,1.676651577,-3.748914341
63,0.994149231,2.524643307,0.227940862,1.189029685,-3.032740779,-2.02936743,0.799132537,-2.950646905
64,0.958798138,2.500280526,0.223928891,1.169221061,-2.843923779,-1.959936351,-0.322754991,-1.593563673
65,0.92575117,2.476890571,0.20383864,1.170071231,-2.658561615,-1.881674428,-1.616219907,0.068394498
66,0.895270633,2.454792755,0.162276101,1.20030153,-2.452097296,-1.777724477,-3.343621916,2.431966158
67,0.867537184,2.434250064,0.095492679,1.258803192,-2.231099682,-1.652617735,-5.372590645,4.706339901
68,0.842690962,2.415492543,1.47E-08,1.339496347,-1.998828062,-1.509004452,-7.682190792,6.49160036
69,0.823429125,2.38627781,2.38E-08,1.409347136,-1.549575578,-2.350265872,7.30E-07,5.619353913
70,0.808104534,2.351466319,0.069882681,1.489157137,-1.232832222,-2.800513711,5.621917846,6.420552461
71,0.797620191,2.328902543,0.130563156,1.550441632,-1.265166008,-2.722814576,7.322430461,7.39531865
72,0.786262171,2.307770816,0.20194964,1.621300034,-1.370594264,-2.550006496,8.614345443,8.550620876
73,0.773436271,2.288784232,0.280777545,1.703150443,-1.547726239,-2.291147912,9.512316277,9.877047734
74,0.758471134,2.272597899,0.364067318,1.797300665,-1.805872138,-1.953236287,10.05073871,11.36129004
75,0.741727244,2.258563272,0.440903938,1.897153615,-2.020517464,-1.693585411,9.272022842,12.04944773
76,0.716532322,2.237063208,0.551613016,2.041969435,-2.026880422,-1.729636564,8.90632087,11.65013914
77,0.690956114,2.214789061,0.658284431,2.178674157,-2.057554168,-1.791910068,8.581499581,10.99761837
78,0.664799169,2.19152235,0.761838833,2.303660418,-2.10427358,-1.871760085,8.330743323,10.05489322
79,0.639690713,2.168710956,0.859582507,2.405530415,-2.150188615,-1.953477355,8.370380674,8.723742687
80,0.61211863,2.143078687,0.955084935,2.501206569,-2.218118987,-2.062064789,7.682979449,7.696955344
81,0.592360463,2.126688904,1.01349993,2.548159104,-2.384256456,-1.977787001,7.049050838,5.665853615
82,0.563438985,2.098647003,1.088291337,2.601970253,-2.326674206,-2.255914085,6.016817147,4.328997867
83,0.533040772,2.068315766,1.134731047,2.655972546,-2.445474924,-2.440086797,3.73598093,4.344375443
84,0.512372983,2.047199843,1.159928071,2.687044214,-2.49402144,-2.548098667,3.040572824,3.749477388
85,0.491249104,2.025132969,1.178411387,2.713394545,-2.549058549,-2.662851528,2.230416878,3.17974444
