node,x_body,y_body,theta_body,theta_ullA,theta_urlA,theta_lllA,theta_lrlA,theta_ullB,theta_urlB,theta_lllB,theta_lrlB,dx_body,dy_body,dtheta_body,dtheta_ullA,dtheta_urlA,dtheta_lllA,dtheta_lrlA,dtheta_ullB,dtheta_urlB,dtheta_lllB,dtheta_lrlB,ddx_body,ddy_body,ddtheta_body,ddtheta_ullA,ddtheta_urlA,ddtheta_lllA,ddtheta_lrlA,ddtheta_ullB,ddtheta_urlB,ddtheta_lllB,ddtheta_lrlB,Tau_leftA,Tau_rightA,Tau_leftB,Tau_rightB
17,0.5153817631541641,0.41516315186167424,-0.10701308845606346,0.1357667461087725,1.3338537637963668,4.398447244039653,2.3268261778606734,2.2917753962747036,3.1415683154403125,3.5134087031661876,2.026033033419252,8.325467594270759,-0.15318943883662256,-4.49500383262135,7.410960446955065,15.943646355546187,3.4724401994231644,-11.389403673876172,-1.7896769405606017,0.0011871480647395747,2.25733638610503,-0.631628770234642,-6.172973275166532,-3.239725988503765,-182.98588869703008,360.7860230750253,774.3388013579086,180.43518205910908,-530.8435411550945,244.45243529159393,-57.71283298516792,-362.73671888419176,113.97831400520076,5.649350428544228,9.570746744606954,-1.9736283970775403,-7.077055974542761
18,0.5278649418357871,0.41491351493406775,-0.11393059548480008,0.1471705174605867,1.3583497892766652,4.403875897142837,2.3095383220188848,2.2893559502364735,3.1415708804312477,3.516450740881956,2.025167730157434,8.321860855224589,-0.16641945363826044,-4.611528235426949,7.602278300662369,16.330176852565355,3.6189897547871146,-11.524879557507312,-1.6129139693013288,0.0017099408895003695,2.0279622067927905,-0.5768509388573781,-2.404418077224595,-8.819736150526461,-77.68052441753952,127.54127760874044,257.67900104079104,97.69667159608908,-90.3144528786277,117.838323770951,0.3485177337222523,-152.91137399385573,36.517420946927864,1.8445872676321302,3.604511632968028,-0.654951115102081,-2.3120613763152655
19,0.5403425233360708,0.41464396581233404,-0.12102753026306458,0.1589181151866355,1.3834705326294492,4.409454957395584,2.2919493395247588,2.287211195418654,3.141572799762883,3.519143085415018,2.0243967119674027,8.318126117638569,-0.17969376432649928,-4.731141089554689,7.831485569726507,16.746635665937244,3.7192565561848436,-11.72561963740724,-1.4297915878673984,0.001279514191184773,1.7948399197097382,-0.5139959649653556,-2.4897467715281607,-8.849262208944719,-79.73939548322123,152.8000415073756,277.63047930007315,66.8424325194403,-133.82251211378545,122.07774909706015,-0.28694210980756274,-155.40997145521283,41.90199839150204,1.8417790085055874,3.659397815939658,-0.6418998642553291,-2.323927568772952
20,0.5528143815266909,0.4143543229419756,-0.1283081456998117,0.17102251856786274,1.4092223761980853,4.415178175725422,2.2740672370664634,2.285353051122223,3.1415760138304814,3.521473977342111,2.0237247356506427,8.314306635303172,-0.19308908120024285,-4.853588640092454,8.069344584483309,17.167347526050918,3.8153570548808786,-11.921020977771636,-1.2387233094730465,0.0021426433135181516,1.5538783330766557,-0.4479699066340841,-2.5462402505898356,-8.929926099473823,-81.62909378479313,158.5676131361489,280.46561760336766,64.06495341370328,-130.2634006824023,127.37478494141972,0.5754010412287326,-160.6359283417264,44.01596670650668,1.8374012372998245,3.711799921582902,-0.62881399172144,-2.340094107017247
21,0.5652803997751271,0.4140444018349586,-0.13577594785990102,0.18349616594048068,1.4356107040595765,4.421038725871341,2.255900684233131,2.2837929673654105,3.141581230452059,3.523431020032182,2.023156917774941,8.310409248992611,-0.2066073691599618,-4.97837327878443,8.315495166797232,17.59164791477001,3.906906693558072,-12.110642362277801,-1.0400221003564116,0.0034776349068852226,1.3046528047781274,-0.37853297114883294,-2.5981732576277414,-9.01189963403812,-83.18706060358073,164.09506509130742,282.8577501243944,61.0311126490071,-126.41015568900762,132.46317574066236,0.8899655257794064,-166.14496258394237,46.2897887182803,1.8312747937218576,3.7612715702232697,-0.615752032305922,-2.3610998260085405
22,0.5777404730320529,0.41371401550778225,-0.14343354481493306,0.19635071428920078,1.4626397261805317,4.427029272632089,2.237459023997449,2.28254186606011,3.1415876356136367,3.5250009814977488,2.0226988552240313,8.306441670264453,-0.22025029056833884,-5.104896346096003,8.569416395436384,18.01875406528685,3.9935661865775067,-12.29403486575687,-0.8340400414815834,0.004269966952316085,1.0466064740867627,-0.30536496712407735,-2.644965290177282,-9.094981109175764,-84.34593095047548,169.27523867972914,284.72804718923953,57.771090835322084,-122.2576385789653,137.31684572670724,0.5282039505822839,-172.0252160573931,48.77706134058972,1.8229658374542854,3.807449951001553,-0.6027082731671962,-2.3879170017002886
23,0.5901945120183403,0.41336297627620044,-0.1512822184763194,0.20959640084079026,1.4903119144826495,4.4331421175804895,2.218752397292011,2.281609945901492,3.1415920614230646,3.5261692898630335,2.02235699529739,8.302413524903173,-0.23401828653843007,-5.232273195113123,8.830160825225384,18.44750531744238,4.075092958286147,-12.47066519829792,-0.6212592186003266,0.0029504404229674206,0.7788460582046296,-0.2278989556475435,-2.6853399579525314,-9.178355397695219,-84.91504444491457,173.82377578927913,285.8245584934065,54.34935387794974,-117.7495962082356,141.84911286005257,-0.8796547783249421,-178.50094260193305,51.642271403777514,1.8112457603179044,3.84921262849967,-0.5897012081782192,-2.4232893803362243
24,0.6274006171818456,0.41220883788072793,-0.1793495448670676,0.2589558844840337,1.590286629918158,4.454384604597725,2.153136135531436,2.2866847886633273,3.14064722727614,3.518990825009931,2.0247182196266684,8.268064702166637,-0.2564764811335001,-6.237214822559859,10.968828976707238,22.216714492660056,4.720576268910617,-14.581464395872551,1.1277484736385044,-0.20996419338336078,-1.5952223864027921,0.5247191407166246,-7.633109877555827,-4.9907348589667375,-223.3214780508743,475.2619650782384,837.6062261757016,143.4414527658407,-469.0688332501686,388.6703190368405,-47.3145995962935,-527.5734028360473,167.249301946933,5.511461421402406,10.811910736956198,-1.4872557822818557,-7.642091554003065
25,0.6397975709982019,0.41180209407515783,-0.18882369777425662,0.27572243213866654,1.6240716012284282,4.4615764440173855,2.1313381827092335,2.2887151516850146,3.140171150598585,3.5160252263074736,2.0257092606144345,8.264362922938709,-0.27115358141048745,-6.315893337371331,11.177329272600215,22.522570333427968,4.794401264055532,-14.531488603441781,1.3535306435036483,-0.3173739695043298,-1.9770005054443685,0.6606721712230788,-2.467771313291395,-9.784410359369959,-52.45061087360942,138.9956065276457,203.8971595483054,49.215037960114735,33.316094592883765,150.51647533221018,-71.60415247849862,-254.51034008319286,90.6323602735603,1.5820674187996915,3.727873679856771,-0.5344183613821811,-3.104141195697664
26,0.6521890639882064,0.41137320001123745,-0.19838944625152108,0.29283987143586593,1.658321287279545,4.468805760928666,2.1094823821610693,2.29108072855708,3.1394784282706976,3.5124427562633236,2.0269338537800032,8.260715868054373,-0.2859197033316845,-6.37694992037654,11.411240157815786,22.832351619499118,4.819381568659937,-14.570040796769751,1.5769978984726583,-0.46179926266794713,-2.3882325692642943,0.8163678261274926,-2.4312876728425374,-9.84374826846539,-40.703011694164545,155.93531487848776,206.51387105157178,16.652973035686742,-25.700592771956735,148.9731302436366,-96.28027163050223,-274.14543491976525,103.79359195001585,1.4940074758434791,3.6854183910808938,-0.5218400265284572,-3.3150972097581746
