node,x_body,y_body,theta_body,theta_ullA,theta_urlA,theta_lllA,theta_lrlA,theta_ullB,theta_urlB,theta_lllB,theta_lrlB,dx_body,dy_body,dtheta_body,dtheta_ullA,dtheta_urlA,dtheta_lllA,dtheta_lrlA,dtheta_ullB,dtheta_urlB,dtheta_lllB,dtheta_lrlB,ddx_body,ddy_body,ddtheta_body,ddtheta_ullA,ddtheta_urlA,ddtheta_lllA,ddtheta_lrlA,ddtheta_ullB,ddtheta_urlB,ddtheta_lllB,ddtheta_lrlB,Tau_leftA,Tau_rightA,Tau_leftB,Tau_rightB,GRF_yA,GRF_yB
10,0.3196634170170132,0.4581779650723638,-0.059494166535119686,0.023461738235184045,1.152216064645033,4.378624093757012,2.437143229573694,2.238362753510084,3.139518338922581,3.5777026486322914,2.0070487595002198,8.192938881581199,0.1139002997301368,-2.3698800201655383,2.639502715858263,10.765989428103497,3.8131540540783213,-9.723040827020636,-9.070129339882701,1.5250417301272012,12.397101688508394,-4.426923316738258,-0.6527770947240792,-6.994205453652916,-16.19790017663631,86.91249552563698,258.2012590941215,103.17995960871224,-182.00201346220348,-51.53198703219084,-89.12746192788796,-89.97189594204559,-46.870800170286216,3.1883219112689622,4.318850829027334,-2.5310559853990617,-4.07223300864293,0.0,-7.29421365093544e-09
11,0.3319511498559159,0.45833295807036367,-0.06309133978588882,0.027628410604039137,1.168950708327131,4.384574083740786,2.4221588389232034,2.2246754658344106,3.1415918186436107,3.5960506244328974,2.000332985194356,8.191774385107456,0.10332806609094815,-2.398101592927837,2.7777654698236525,11.156364421018335,3.9666369850102736,-9.989535833535681,-9.124805531920332,1.3823117974206904,12.231912929138513,-4.477156905687438,-0.7763264802556711,-7.048114884520119,-18.814272729768415,92.17463475135536,260.2484859877406,102.32136055066293,-177.66230733935228,-36.45058329971605,-95.15273664085578,-110.1252009182451,-33.488865083646076,3.170113247607699,4.363984686495073,-2.4804780350062963,-4.075064926246619,0.0,-7.288108552343627e-09
12,0.3687467158920586,0.4588310541073395,-0.0754581065009928,0.048530948221434375,1.2338626875449539,4.404965999751704,2.368277526311031,2.1823330311987057,3.1399293118713536,3.645171394647558,1.9834704179205422,8.17687984524772,0.11068919123965693,-2.748199753315023,4.645058004823906,14.42503844240343,4.531585323945905,-11.97375299788033,-9.409530486127805,-0.36944989799313255,10.915843380606717,-3.7472772220692887,-3.3099331224768282,1.6358230719348055,-77.80042271170285,414.95833165407436,726.3797681463918,125.54541712203564,-440.9418603259832,-63.272888293423975,-389.2845373498661,-292.4630254570213,162.19721877822926,10.036565919883506,11.978437784003683,-6.336660793788669,-12.497731181144072,0.0,-7.286006351015103e-09
13,0.3810096705661993,0.4589798656560059,-0.07960089613204671,0.055686172419311925,1.2559436021344852,4.412033188131241,2.350205600261714,2.1682903452399755,3.1390702587146304,3.66096925519551,1.9778287647131068,8.175255283742258,0.0992071186630649,-2.7618435948495828,4.770121555893144,14.720523598492052,4.711431353721962,-12.047880208970419,-9.361735864858884,-0.5726987536966501,10.531845411515302,-3.761080132701434,-1.0830346669457669,-7.654670264584824,-9.095841137793991,83.3752128953374,196.98895150244053,119.89665168437945,-49.41785158932693,31.86289442031036,-135.4984443519677,-255.9971482550453,-9.20188658239301,3.039372430490529,4.371213608514791,-2.3294093254937365,-4.412395218041826,0.0,-7.28373803726283e-09
14,0.39326993566305257,0.4591119188172626,-0.08375315666013403,0.06307883675788815,1.278499071530597,4.4192707204589965,2.331918238121448,2.154271782600474,3.137787976964913,3.6762845208808477,1.9723519591088188,8.17346214443209,0.08803492469846001,-2.768157455979622,4.92841399761855,15.036891437717166,4.824993263415527,-12.191503282693946,-9.345653633763996,-0.8548494879202982,10.210117262729785,-3.6511823296994947,-1.1954191981643665,-7.448085642404879,-4.209216075174967,105.52767578609676,210.91065627006128,75.70749593073587,-95.74815445446755,10.721424538023236,-188.0993866757905,-214.4841750258367,73.26477245774623,2.973352322576067,4.358765996962517,-2.2866665202397,-4.537652393160498,0.0,-7.281284074484326e-09
15,0.4055273747140899,0.4592271871422388,-0.08790212078578752,0.07070177591478204,1.3015077774526322,4.4266710874445145,2.3134355164995797,2.140290303428238,3.1360336520827357,3.691073567355902,1.967087857362794,8.171577969545192,0.07684509798832896,-2.765959814644515,5.081929546481093,15.339047058474746,4.933548971658254,-12.321741939211273,-9.320931289952235,-1.1695430423051927,9.859306325158238,-3.509380522158974,-1.2561092029448149,-7.459840595315657,1.4650856059042918,102.3430972688894,201.43589567740506,72.37004648777607,-86.8252603132543,16.481465598689915,-209.79446893124558,-233.87258276373504,94.5339823200467,2.907359592367763,4.345937526494142,-2.2450292770497664,-4.663337805148245,0.0,-7.2786679033044685e-09
16,0.41778187019109375,0.45932564793885877,-0.09203488711052395,0.07854807255938845,1.3249484211663909,4.434226155367638,2.2947772684134757,2.1263575226028313,3.133758732926488,3.7052951880955365,1.9620841363322428,8.169615426549194,0.0656401436098658,-2.7551612862600385,5.230833552417289,15.62700356383717,5.036682217492797,-12.438758632100475,-9.288465720973097,-1.5166038184033832,9.481024527127888,-3.335794329358536,-1.3083542741876097,-7.469925491086277,7.198976427825941,99.26875131286488,191.9698703874512,68.75509136553815,-78.01066810015382,21.643584891877623,-231.37248495318192,-252.18637671137327,115.72344542454597,2.8414976351842176,4.332153062596971,-2.2040363011267896,-4.789842922288941,0.0,-7.275878297713966e-09
17,0.43003332507909536,0.45940728045131823,-0.09613841823678237,0.0866110020569458,1.3487997161900709,4.441927227799307,2.27596306338077,2.112483932532195,3.1309149915324856,3.718910223705962,1.9573882293205884,8.16758819089912,0.05442135247220509,-2.735671205926632,5.375254477963728,15.90076912121207,5.134017863606692,-12.542729026964262,-9.249005237514917,-1.8958163613999996,9.076636618829939,-3.1305861225927707,-1.3514824245019559,-7.479149770355725,12.993309890623932,96.2800464757062,182.50929003378735,64.89004620438646,-69.3131858261356,26.306833077910667,-252.80686386506216,-269.59034127378294,136.80466047318816,2.7756869899340306,4.317478903120072,-2.1635824127015892,-4.917083731008485,0.0,-7.272903062404259e-09
18,0.4422816642466055,0.45947206416504055,-0.10019953964091366,0.09488397795918299,1.3730403783356708,4.44976510748421,2.2570121922422968,2.098679118964502,3.1274545658962603,3.7318812073299585,1.9530472995694268,8.165510851505552,0.04318888546161418,-2.707398157513349,5.5152844463315205,16.160345259104503,5.2252220276224,-12.633838907494836,-9.203154276541921,-2.306936695415688,8.647270955509846,-2.893935945434753,-1.3848846875042113,-7.4882667772175315,18.8485867729881,93.35275669669647,173.04972876444572,60.80241417123912,-60.73955888853996,30.56712540832173,-274.0785916170965,-286.24207210101275,157.76584589691143,2.7098452888324296,4.301979639708832,-2.1235514532347985,-5.044988376038139,0.0,-7.2697289299708575e-09
19,0.4545268356973804,0.4595199772162526,-0.10420493938180454,0.10336049843837034,1.3976491136760512,4.457730158126639,2.2379436557431833,2.084951968579648,3.1233299886937,3.74417202754739,1.9491082459881581,8.163398831757174,0.031941843187973246,-2.6702505307461473,5.6509798703377925,16.405725484225076,5.310002017585381,-12.712281670040086,-9.151378881508897,-2.7497016968873895,8.19383116093223,-2.626020022081664,-1.4080047483101565,-7.497983358293779,24.76493646275052,90.46307520157241,163.58583880496414,56.519655425190905,-52.29486240318604,34.51672367556953,-295.1749030454232,-302.29138923921647,178.60954781252616,2.643888150577657,4.285718637719728,-2.0838181532829485,-5.17349521650632,0.0,-7.26634144659329e-09
